id;lenpayload;lsnr;rssi;latitude;longitude;flag
123;10;7.25;-39.0;38,114925;-8,785458;0
124;16;9.0;-37.0;38,11493;-8,785459;0
125;10;7.75;-39.0;38,114925;-8,785461;0
126;10;7.25;-41.0;38,114925;-8,785461;0
127;16;9.0;-37.0;38,114906;-8,785484;0
128;10;7.75;-33.0;38,114906;-8,785484;0
129;10;9.0;-35.0;38,114906;-8,785489;0
130;16;9.5;-36.0;38,114902;-8,785461;0
131;10;9.25;-34.0;38,114902;-8,785461;0
132;10;9.0;-36.0;38,114906;-8,785471;0
133;16;10.25;-37.0;38,114902;-8,785479;0
134;10;9.75;-35.0;38,114902;-8,785479;0
135;10;9.0;-42.0;38,114902;-8,785483;0
136;10;6.75;-47.0;38,114906;-8,785483;0
137;10;9.25;-45.0;38,114906;-8,785483;0
138;16;10.5;-41.0;38,114906;-8,785481;0
139;10;8.25;-41.0;38,114906;-8,785481;0
140;10;9.25;-43.0;38,114906;-8,785481;0
141;16;7.25;-49.0;38,1149;-8,785496;2
142;10;7.75;-37.0;38,1149;-8,785496;0
143;10;9.0;-39.0;38,114902;-8,785499;0
144;10;9.0;-39.0;38,114902;-8,785493;0
145;10;9.0;-37.0;38,11489;-8,785481;0
146;10;9.25;-37.0;38,114895;-8,785484;0
147;10;9.0;-37.0;38,11489;-8,785488;0
148;10;8.0;-37.0;38,11488;-8,785483;0
149;10;8.0;-41.0;38,11488;-8,785483;0
150;10;9.75;-35.0;38,11488;-8,785481;0
151;10;9.5;-34.0;38,11488;-8,785478;0
152;10;10.25;-43.0;38,114883;-8,785484;0
153;10;9.5;-48.0;38,114876;-8,785483;0
154;16;9.5;-28.0;38,114883;-8,785501;0
155;10;7.0;-31.0;38,114845;-8,785519;0
156;16;9.25;-37.0;38,1149;-8,785534;0
157;10;9.75;-31.0;38,11494;-8,785489;0
158;16;8.0;-31.0;38,114918;-8,785483;2
159;10;9.5;-30.0;38,114914;-8,785464;0
160;16;10.0;-32.0;38,114876;-8,785446;0
161;10;10.0;-30.0;38,11489;-8,785471;0
162;16;9.75;-31.0;38,114883;-8,785449;0
163;10;10.0;-31.0;38,11484;-8,785463;0
164;16;10.25;-33.0;38,11484;-8,785459;0
165;10;9.75;-32.0;38,114895;-8,785463;0
166;16;9.75;-32.0;38,114883;-8,785493;0
167;10;10.0;-31.0;38,114906;-8,785526;0
168;16;9.25;-32.0;38,11493;-8,785524;0
169;10;10.0;-31.0;38,114918;-8,785524;0
170;16;9.25;-30.0;38,114895;-8,785506;0
171;16;10.25;-44.0;38,114826;-8,785539;2
172;10;9.5;-35.0;38,114857;-8,785564;0
173;16;9.5;-41.0;38,114857;-8,785526;0
174;10;10.25;-36.0;38,11489;-8,785458;0
175;16;7.75;-35.0;38,1149;-8,785466;2
176;10;9.5;-37.0;38,114895;-8,785478;0
177;16;7.0;-35.0;38,114906;-8,785486;0
