id, lenpayload,lsnr,rssi, flag
213,10,7.75,-81.0,0
214,10,9.5,-38.0,0
215,10,8.25,-45.0,0
216,10,6.0,-86.0,0
217,10,10.0,-37.0,0
218,10,9.25,-31.0,0
219,10,7.25,-38.0,0
220,16,7.0,-47.0,0
221,10,-1.0,-91.0,0
222,10,10.5,-47.0,0
223,10,5.0,-87.0,0
224,10,8.0,-51.0,0
225,16,9.5,-41.0,0
226,16,8.25,-47.0,0
227,10,9.25,-39.0,0
228,10,7.5,-49.0,0
229,16,5.75,-90.0,0
230,16,9.25,-47.0,0
231,10,9.75,-11.0,0
232,16,10.0,-3.0,0
233,10,9.75,-9.0,0
234,10,8.75,-7.0,0
235,16,10.25,-11.0,0
236,16,10.25,-11.0,0
237,10,6.75,-6.0,0
238,16,9.25,-10.0,0
239,16,9.5,-11.0,0
240,10,7.5,-11.0,0
241,16,10.25,-39.0,0
242,10,8.75,-8.0,0
243,10,9.25,-42.0,0
244,16,9.75,-8.0,0
245,10,9.5,-14.0,0
246,10,6.5,-7.0,0
247,10,9.75,-43.0,0
248,16,9.0,-8.0,0
249,10,9.25,-15.0,0
250,10,10.25,-9.0,0
251,10,10.25,-41.0,0
252,16,9.75,-9.0,0
253,10,6.5,-7.0,0
254,10,10.5,-47.0,0
255,16,9.25,-7.0,0
256,10,9.25,-14.0,0
257,10,7.0,-8.0,0
258,10,9.25,-50.0,0
259,16,9.25,-8.0,0
260,16,9.5,-15.0,0
261,10,9.25,-8.0,0
262,16,10.0,-43.0,0
263,16,6.75,-15.0,0
264,16,8.75,-8.0,0
265,10,11.0,-15.0,0
266,16,10.5,-49.0,0
267,10,9.0,-44.0,0
268,16,8.75,-8.0,0
269,10,9.0,-8.0,0
270,16,7.25,-44.0,0
271,16,7.25,-6.0,0
272,10,9.0,-12.0,0
273,10,9.25,-51.0,0
274,10,10.5,-9.0,0
275,16,10.75,-9.0,0
276,10,9.5,-14.0,0
277,10,9.5,-45.0,0
278,10,9.75,-7.0,0
279,16,10.5,-8.0,0
280,10,9.5,-14.0,0
281,10,9.0,-43.0,0
282,10,10.0,-7.0,0
283,16,11.25,-9.0,0
284,16,9.0,-15.0,0
285,10,9.5,-47.0,0
286,10,9.75,-9.0,0
287,16,10.0,-15.0,0
288,16,9.75,-9.0,0
289,10,10.0,-14.0,0
290,10,10.0,-43.0,0
291,10,8.5,-8.0,0
292,16,7.25,-8.0,0
293,10,10.25,-14.0,0
294,16,7.5,-44.0,0
295,10,8.75,-7.0,0
296,16,9.0,-57.0,0
297,16,9.25,-8.0,0
298,10,9.25,-14.0,0
299,10,9.0,-46.0,0
300,16,9.5,-17.0,0
301,10,7.25,-21.0,0
302,16,10.5,-21.0,0
303,10,8.75,-27.0,0
304,10,9.75,-20.0,0
305,16,6.5,-20.0,0
306,10,10.0,-27.0,0
307,10,9.0,-17.0,0
308,16,10.25,-17.0,0
309,10,7.75,-20.0,0
310,10,10.5,-32.0,0
311,16,9.75,-27.0,0
312,10,9.75,-25.0,0
313,10,7.0,-29.0,0
314,16,10.5,-15.0,0
315,10,9.25,-17.0,0
316,10,9.25,-13.0,0
317,10,8.75,-26.0,0
318,10,9.0,-14.0,0
319,10,10.25,-29.0,0
320,10,7.5,-15.0,0
321,10,9.75,-26.0,0
322,16,8.0,-34.0,0
323,16,9.5,-26.0,0
324,16,9.75,-15.0,0
325,10,7.25,-25.0,0
326,16,11.0,-17.0,0
327,16,9.0,-26.0,0
328,10,9.0,-14.0,0
329,10,8.75,-26.0,0
330,16,9.5,-25.0,0
331,16,7.5,-23.0,0
332,10,10.0,-15.0,0
333,10,9.75,-25.0,0
334,16,9.5,-32.0,0
335,10,7.5,-31.0,0
336,16,7.0,-26.0,0
337,10,9.75,-15.0,0
338,10,8.75,-25.0,0
339,10,7.75,-29.0,0
340,16,10.25,-33.0,0
341,10,9.25,-32.0,0
342,10,9.25,-26.0,0
343,16,6.25,-31.0,0
344,10,9.0,-14.0,0
345,10,9.75,-33.0,0
346,10,8.5,-26.0,0
347,16,10.75,-35.0,0
348,16,7.25,-13.0,0
349,10,7.0,-31.0,0
350,16,7.75,-13.0,0
351,10,10.5,-29.0,0
352,16,9.5,-33.0,0
353,10,9.75,-14.0,0
354,16,9.5,-26.0,0
355,16,6.5,-31.0,0
356,10,7.25,-31.0,0
357,16,8.5,-24.0,0
358,10,9.0,-27.0,0
359,16,9.25,-32.0,0
360,10,10.25,-15.0,0
361,10,10.5,-33.0,0
362,10,9.25,-26.0,0
363,16,9.0,-32.0,0
364,10,9.75,-14.0,0
365,10,7.5,-30.0,0
